Id	Title	State	Submitter	Primary authors	Accepted track	Submitted for tracks	Reviewed for tracks
13	Targeted cancer therapy with the alpha emitter actinium-225	Accepted	Alban Kellerbauer	Alban Kellerbauer; Frank Bruchertseifer; Rikard Malmbeck; Alfred Morgenstern		Other Topics	Other Topics
61	Neutrino CP Violation with the European Spallation Source neutrino Super Beam project	Accepted	Georgios Fanourakis	Georgios Fanourakis		A High Energy Particle Physics	A High Energy Particle Physics
287	Lifshitz Regime and the phase diagram of QCD	Accepted	Semeon Valgushev	Robert Pisarski; Fabian Rennecke; Vladimir Skokov; Alexei Tsvelik; Semeon Valgushev		Workshop on QCD	Workshop on QCD
84	Three regimes of QCD	Accepted	Leonid Glozman	Leonid Glozman		Workshop on QCD	Workshop on QCD
81	On the generalised spectral structure of QCD propagators	Accepted	Peter Lowdon	Peter Lowdon		Workshop on QCD	Workshop on QCD
175	Schwinger based QCD formulation's derivation of elastic pp scattering	Accepted	peter tsang	Herbert Fried; peter tsang; Thierry Grandou; Yves Gabellini; Yeuan-Ming Sheu		Workshop on QCD	Workshop on QCD
289	`Effective locality and chiral symmetry breaking in QCD’.	Accepted	Thierry Grandou	Thierry Grandou; Peter H. Tsang		Workshop on QCD	Workshop on QCD
131	In-medium spectral functions of vector and axial-vector mesons from analytically continued FRG flow equations	Accepted	Lorenz von Smekal	Lorenz von Smekal		Workshop on QCD	Workshop on QCD
244	QCD in the heavy dense regime for large Nc: on the existence of quarkyonic matter	Accepted	Owe Philipsen	Owe Philipsen		Workshop on QCD	Workshop on QCD
319	On the Phase Structure & Dynamics of QCD	Accepted	Jan M. Pawlowski	Jan M. Pawlowski		Workshop on QCD	Workshop on QCD
329	Statistical methods for data treatment  with and without signal (ATLAS+CMS)	Accepted	Ekaterina Kriukova	Pietro Vischia		A High Energy Particle Physics	A High Energy Particle Physics
213	Diffuse neutrinos: a look into the past	Accepted	Olga Caballero	Caballero Liliana		Workshop on Physics of Exotic Nuclei; Workshop on Astro-Cosmo-Gravity	Workshop on Physics of Exotic Nuclei; Workshop on Astro-Cosmo-Gravity
212	From alpha clustering to homogeneous matter	Accepted	Alexandros Gezerlis	Alexandros Gezerlis		Workshop on Physics of Exotic Nuclei; Workshop on Astro-Cosmo-Gravity	Workshop on Physics of Exotic Nuclei; Workshop on Astro-Cosmo-Gravity
22	Final results of the CUPID-0 Phase I experiment	Accepted	Fabio Bellini	Chiara Brofferio		A High Energy Particle Physics; Workshop on Astro-Cosmo-Gravity	A High Energy Particle Physics; Workshop on Astro-Cosmo-Gravity
98	Main results of the DAMPE space detector in its 4th year in orbit	Accepted	Piergiorgio Fusco	Piergiorgio Fusco		Workshop on Astro-Cosmo-Gravity	Workshop on Astro-Cosmo-Gravity
262	Branching of Center Vortices in SU(3) Lattice Gauge Theory	Accepted	Hugo Reinhardt	Hugo Reinhardt	Workshop on QCD	Workshop on QCD	Workshop on QCD
237	Symmetry, Confinement, and the Higgs Phase	Accepted	Jeff Greensite	Jeff Greensite	Workshop on QCD	Workshop on QCD	Workshop on QCD
133	Quark-diquark models and fluctuations in thermal QCD	Accepted	Eugenio Megias	Eugenio Megias; Enrique Ruiz Arriola; Lorenzo Luis Salcedo	Workshop on QCD	B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD; Mini-workshop: Correlations and Fluctuations in Relativistic Heavy Ion Collisions	B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD; Mini-workshop: Correlations and Fluctuations in Relativistic Heavy Ion Collisions
256	The impact of fluctuations on the QCD phase structure	Accepted	Bernd-Jochen Schaefer	Bernd-Jochen Schaefer	Workshop on QCD	Workshop on QCD	Workshop on QCD
266	QCD phase diagram and baryon number fluctuations from DSEs	Accepted	UNKNOWN UNKNOWN	Christian Fischer	Workshop on QCD	B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD	B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD
241	NUCLEAR FEMTOGRAPHY AS A BRIDGE FROM THE NUCLEON TO NEUTRON STARS	Accepted	liuti simonetta	Simonetta Liuti	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Workshop on QCD	Workshop on QCD
152	Flavor Decompositions of Nucleon, Δ, and Hyperon Electromagnetic Form Factors	Accepted	Willibald Plessas	Willibald Plessas	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
55	Fractal dimension of Yang-Mills Fields	Submitted	Eugenio Megias	Eugenio Megias; Airton Deppman; Debora Menezes; Tobias Frederico		A High Energy Particle Physics	A High Energy Particle Physics
340	Physics Opportunities with an Electron Ion Collider in the USA	Accepted	Victoria Volkova	Abhay Deshpande	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
249	Spin structure of the nucleon	Accepted	UNKNOWN UNKNOWN	Jian-ping Chen	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
242	The Nucleus as a QCD Laboratory	Accepted	Kawtar Hafidi	Kawtar Hafidi	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon	Special session on Lepton-Nucleus scattering and Structure of the Nucleon
83	Machine Learning approach to event classification in DEAP-3600	Submitted	Aidar Ilyasov	Aidar Ilyasov			
100	Recent results on flow in small systems	Accepted	Mate Csanad	Mate Csanad	Lectures	B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics; Lectures	B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics; Lectures
14	Diffraction in QCD	Accepted	Boris Kopeliovich	Boris Kopeliovich	Lectures	Lectures	Lectures
316	Gravitational Model of the Three Elements Theory : Formalizing	Submitted	Frederic Lassiaille	Frederic LASSIAILLE		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
333	A unified approach towards the realistic equation of state of multicomponent dense mixtures of hard spheres and hard discs	Submitted	Nazar Yakovenko	Nazar Yakovenko; Kyrill Bugaev; Larisa Bravina; Evgeny Zabrodin		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
315	The concept of induced surface and curvature tensions and a unied description of the gas of hard discs and hard spheres	Submitted	Nazar Yakovenko	Nazar Yakovenko; Kyrill Bugaev; Larisa Bravina; Evgeny Zabrodin		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
285	Stueckelberg superfield in supergravity	Submitted	Silvia Nagy	Silvia Nagy		Workshop on New physics paradigms after Higgs and gravitational wave discoveries	Workshop on New physics paradigms after Higgs and gravitational wave discoveries
33	Superasymptotic and hyperasymptotic approximation to the operator product expansion	Submitted	Xabier Lobregat	Cesar Ayala; Xabier Lobregat; Antonio Pineda			
203	Searches for new phenomena in dilepton final states using the ATLAS detector	Submitted	Deshan Kavishka Abhayasinghe	Deshan Kavishka Abhayasinghe		A High Energy Particle Physics	A High Energy Particle Physics
66	Time of Flight system of the BM@N/NICA experiment. Performance and particle identification results.	Submitted	Mikhail Rumyantsev	Mikhail Rumyantsev		B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics; Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics; Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
320	UrQMD distributions and fluctuations in baryon subsystems at fixed total net baryon number: simulations vs analytics	Submitted	Oleksandr Vitiuk	Yurii Kvasiuk; Yuriy Sinyukov; Larisa Bravina; Evgeny Zabrodin		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
173	Top-quark pair production cross-section measurements with the ATLAS detector	Submitted	Adam Bozson	Adam Bozson		A High Energy Particle Physics	A High Energy Particle Physics
177	Observation and measurements of vector-boson scattering at the ATLAS detector	Submitted	Ondrej Penc	Ondrej Penc; ATLAS Collaboration		A High Energy Particle Physics	A High Energy Particle Physics
318	Recent results of the hadronic cross section measurement with the CMD3 detector	Submitted	Gennady Fedotovich	Gennady Fedotovich		A High Energy Particle Physics	A High Energy Particle Physics
317	Recent BaBar results in light hadron spectroscopy	Submitted	Evgeny Solodov	Evgeny Solodov		A High Energy Particle Physics	A High Energy Particle Physics
230	Searches for high-mass diboson resonances with the ATLAS detector	Submitted	Yuta Okazaki	Yuta Okazaki			
187	Measurements of single diffraction using forward proton tagging at the ATLAS detector	Submitted	Sabina Anna Czekierda	Sabina Anna Czekierda		A High Energy Particle Physics	A High Energy Particle Physics
222	Phase diagram and strange matter in SU(3) PNJL model	Accepted	Alexandra Friesen	Alexandra Friesen; Yuri Kalinovsky; Viacheslav Toneev		B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD	B Heavy Ion Collisions and Critical Phenomena; Workshop on QCD
46	From varying constants to the entangled cyclic multiverses	Submitted	Mariusz Dabrowski	Mariusz P.  Dąbrowski		Workshop on Quantum Foundations and Quantum Information; D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity	Workshop on Quantum Foundations and Quantum Information; D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity
157	The TUS space experiment	Submitted	Maria Lavrova	Maria Lavrova; Andrey Grinuyk; Artur Tkachenko; Leonid Tkachev		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
259	Advanced Multivariate Analysis methods for use by the experiments at the Large Hadron Collider	Submitted	Anna Stakia	Anna Stakia		A High Energy Particle Physics	A High Energy Particle Physics
148	Dark Matter searches with the ATLAS detector	Submitted	Edoardo Maria Farina	Edoardo Maria Farina		A High Energy Particle Physics	A High Energy Particle Physics
77	Latest results from the DEAP-3600 dark matter search experiment	Submitted	Damian Goeldi	Damian Goeldi		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
96	Study of sensitivity to dark matter scattering for liquid argon detectors in EFT framework	Submitted	Nikita Levashko	Nikita Levashko		A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
267	ATLAS Muon Trigger Performance	Submitted	Andrea Ventura	Andrea Ventura		Other Topics; A High Energy Particle Physics	Other Topics; A High Energy Particle Physics
174	New approach to discovery of Dark Matter	Submitted	Gh Saleh	Gh Saleh; Reza Alizadeh Dahdahli; Hasan Yari		D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity	D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity
111	CPT-Symmetric Universe	Submitted	Latham Boyle	Latham Boyle; Kieran Finn; Neil Turok		A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
150	Test of CP invariance in vector-boson fusion production of the Higgs boson using H -> tau tau decays at the ATLAS experiment	Submitted	Alena Loesle	Alena Loesle		A High Energy Particle Physics	A High Energy Particle Physics
4	Gravitational Model of the Three Elements Theory : formalizing	Withdrawn	Frederic Lassiaille	Frederic Lassiaille		Workshop on Astro-Cosmo-Gravity; A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	Workshop on Astro-Cosmo-Gravity; A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
60	Direct detection of Dark Matter particles	Submitted	Pierluigi Belli	Pierluigi Belli			
158	Telescope Array Experiment	Submitted	Dmitri Ivanov	Dmitri Ivanov		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
65	The Pierre Auger Observatory: review of latest results and future perspectives	Submitted	Daniela Mockler	Daniela Mockler		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
78	Nuclei in  Core-Collapse Supernovae	Submitted	Shun Furusawa	Shun Furusawa		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
307	Search for the production of four top quarks using the ATLAS detector	Submitted	Thibault Chevalérias	Thibault Chevalérias		A High Energy Particle Physics	A High Energy Particle Physics
301	A semi-autonomous RF detection system for high energy showers	Submitted	Antonios Leisos	Antonios Leisos; Apostolos Tsirigotis; Stavros Nonis; Michael Petropoulos		Other Topics	Other Topics
195	Studies using Optimal Observables for the measurement of the anomalous quartic gauge couplings	Submitted	Antonios Leisos	Antonios Leisos; Alexandros Marantis		A High Energy Particle Physics	A High Energy Particle Physics
167	Reconstruction of $\mathbf{\text{D}^{0}}$ mesons in d+Au collisions at $\sqrt{s_{\text{NN}}}=200$ GeV by the STAR experiment	Submitted	Lukas Kramarik	Lukas Kramarik		B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics	B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics
76	Improvements to neural network training applied to HEP	Withdrawn	Giles Chatham Strong	Giles Chatham Strong; Pablo de Castro; Tommaso Dorigo		A High Energy Particle Physics	A High Energy Particle Physics
225	Searches for new phenomena in final states involving leptons and jets using the ATLAS detector	Submitted	Tadej Novak	Tadej Novak		A High Energy Particle Physics	A High Energy Particle Physics
314	Determination of proton parton distribution functions using ATLAS data	Submitted	Ekaterina Kriukova	POSTER TBA ATLAS		A High Energy Particle Physics	A High Energy Particle Physics
311	Determination of proton parton distribution functions using ATLAS data	Submitted	Ekaterina Kriukova	TBA ATLAS		A High Energy Particle Physics	A High Energy Particle Physics
309	CMS prospects for run3, HL LHC and upgrades	Submitted	Ekaterina Kriukova	Nancy Marinelli		A High Energy Particle Physics	A High Energy Particle Physics
308	Thermal production of Sexaquarks in Heavy Ion Collisions	Submitted	Sonja Kabana	David Blaschke; Larisa Bravina; Kyrill Bugaev; Glennys Farrar; Boris Grinyuk; Oleksii Ivanytskyi; Sonja Kabana; Violetta Sagun; Arkadii Taranenko; Arkadiy Taranenko; Evgeny Zabrodin; Xiaoming Zhang; Daicui Zhou		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
300	BEST prospects in searches for sterile neutrinos	Submitted	Ekaterina Kriukova	Dmitry Gorbunov		Workshop on Heavy Neutral Leptons	Workshop on Heavy Neutral Leptons
292	Accelerator issues of the ELISE project	Submitted	Ivan Koop	Ivan Koop		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
290	The weightless condition of the object by the gravity forces in the vertical	Submitted	Pathawit Chongsermsirisakul	Pathawit Chongsermsirisakul		Physics Education and Outreach	Physics Education and Outreach
286	Calculation of shear viscosity in Au+Au collisions at NICA energies	Submitted	Evgeny Zabrodin	Maksym Teslyk; Evgeny Zabrodin; Larisa Bravina		Mini-workshop: Correlations and Fluctuations in Relativistic Heavy Ion Collisions	Mini-workshop: Correlations and Fluctuations in Relativistic Heavy Ion Collisions
274	The ATLAS Level-1 Topological Processor: experience and upgrade plans	Withdrawn	Carlos Moreno Martinez	Carlos Moreno Martinez		A High Energy Particle Physics; Mini Workshop on Instruments and Methods in HEP	A High Energy Particle Physics; Mini Workshop on Instruments and Methods in HEP
269	The Bell's theorem revisited: a subtle, though crucial, assumption has gone unnoticed, and it might not be justified!	Submitted	David H Oaknin	David Oaknin		C Quantum Physics, Quantum Optics and Quantum Information; D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Quantum Foundations and Quantum Information	C Quantum Physics, Quantum Optics and Quantum Information; D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Quantum Foundations and Quantum Information
240	A microscopic description for polarization in particle scatterings	Withdrawn	Junjie ZHANG	Junjie ZHANG		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
215	Cosmic ray science with scintillators and high schools	Submitted	Kasper van Dam	Kasper van Dam		A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
210	Beam dynamics simulation results for the normal conducting accelerating CW RFQ for the linear accelerator LINAC-100 for project DERICA	Submitted	Юрий Лозеев	Yury Lozeev; Sergey Polozov		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
202	Updated signals of two QCD phase transitions in heavy ion collisions	Submitted	Kyrill Bugaev	Kyrill Bugaev		Lectures	Lectures
192	New data on old black holes and other unexpected creatures	Submitted	Alexander Dolgov	Alexander Dolgov		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
162	Event centrality determination for ion-ion collisions with forward hadron calorimeter at BM@N experiment (JINR, Dubna).	Submitted	Sergey Morozov	Sergey Morozov		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
138	BEAM DYNAMICS SIMULATION FOR THE ACCELERATOR-DRIVER LINAC-100 FOR DERICA PROJECT	Submitted	Sergey Polozov	Sergey Polozov; Tatyana Lozeeva; Aleksandr Samoshin; Andrey Fomichev; Winfried Barth; Stepan Yaramyshev; Leonid Grigorenko		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
139	Progress of the development and establishment of the production of superconducting cavities in Russia and Belorussia	Submitted	Sergey Polozov	Alina Bakinowskaya; Mikhail Batouritski; Andrey Butenko; Nikita Emelianov; Evgeny Gurnevich; Maria Gusarova; Siarhey  Huseu; Timur Kulevoy; Michael Lalayan; Tatyana Lozeeva; Sergey Maksimenko; Sergey Matsievskiy; Roman Nemchenko; Valeriy Petrakovsky; Igor Pobol; Artur Pokrovsky; Sergey Polozov; Aleksandr Samoshin; Vadim Shatokhin; Dmitriy Shparla; Aleksey Shvedau; Nikolay Sobenin; Evgeniy Syresin; Grigory Trubnikov; Sergey Yurevich; Vitaliy Zaleski; Vladimir Zvyagintsev		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
137	Beam dynamics simulation results for the nor-mal conducting accelerating CW RFQ for the lin-ear accelerator LINAC-100 for project DERICA	Submitted	Sergey Polozov	Sergey Polozov; Yury Lozeev		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
130	LATEST RESULTS ON RARE KAON DECAYS FROM THE NA48/2 EXPERIMENT AT CERN	Submitted	Patrizia Cenci	Natalia Molokanova		A High Energy Particle Physics	A High Energy Particle Physics
129	KLEVER: AN EXPERIMENT TO MEASURE BR(KL→π0𝑣𝑣̅) AT THE CERN SPS	Submitted	Patrizia Cenci	Marco Mirra		A High Energy Particle Physics	A High Energy Particle Physics
127	PHYSICS BEYOND SM WITH KAONS FROM NA62	Submitted	Patrizia Cenci	Stefan Alexandru Ghinescu		A High Energy Particle Physics	A High Energy Particle Physics
125	Electrodynamics simulation and thermal analysis results for the normal conducting accelerating structure with RFQ for the CW linear accelerator LINAC-100 for mega-science project DERICA	Submitted	Юрий Лозеев	Yury Lozeev; Sergey Polozov		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
122	Search for possibility of FSR suppression in specific dark matter models explaining cosmic positron data	Submitted	Ekaterina Shlepkina	Ekaterina Shlepkina		A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
119	Event centrality determination for ion-ion collisions with forward hadron calorimeter at BM@N experiment (JINR, Dubna)	Withdrawn	Sergey Morozov	Sergey Morozov		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
114	Hall conductivity as the topological invariant in phase space	Submitted	Mikhail Zubkov	Mikhail Zubkov; Xi Wu		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
112	RENORM-model diffraction-predictions decipher puzzle in experimental results at LHC	Submitted	Konstantin Goulianos	Konstantin Goulianos		A High Energy Particle Physics	A High Energy Particle Physics
108	Design and Status of JUNO	Submitted	Hans Theodor Josef Steiger	Hans Theodor Josef Steiger			
93	Asymptotic quantum mechanics: Is the incomplete Bohr’s correspondence principle?	Submitted	ANDRES CAMILO GRANDA ARANGO	Andrés Camilo Granda Arango; Jorge Alejandro Bernal arroyo ; Boris Anghelo Rodriguez Rey		C Quantum Physics, Quantum Optics and Quantum Information	C Quantum Physics, Quantum Optics and Quantum Information
87	Derivation of Vacuum Energy and Cosmological Constant Using Holographic Principle and String Theory	Submitted	Rulin Xiu	Rulin Xiu		A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
75	Non-linear unitarity corrections to the propagator of reggeized gluons	Submitted	Sergey Bond	Sergey Bondarenko		Mini-workshop: Correlations and Fluctuations in Relativistic Heavy Ion Collisions; Workshop on Heavy Ion Physics; A High Energy Particle Physics; Workshop on QCD	Mini-workshop: Correlations and Fluctuations in Relativistic Heavy Ion Collisions; Workshop on Heavy Ion Physics; A High Energy Particle Physics; Workshop on QCD
71	The Belle II experiment: status, first results and prospects	Withdrawn	Ida Marena Peruzzi	Ida Peruzzi		A High Energy Particle Physics	A High Energy Particle Physics
52	Is quantum mechanics “spooky”?	Submitted	Daniel ROHRLICH	Yakir Aharonov; Daniel Rohrlich		C Quantum Physics, Quantum Optics and Quantum Information; Workshop on Quantum Foundations and Quantum Information	C Quantum Physics, Quantum Optics and Quantum Information; Workshop on Quantum Foundations and Quantum Information
51	Results from the CUORE experiment	Submitted	Brian Fujikawa	Brian Fujikawa			
50	Ultrasensitive superconducting photon detectors for axion observation II -- detectors based on Josephson junctions and fundamental phenomena in nano-systems	Withdrawn	Dragos-Victor Anghel	Dragos-Victor Anghel		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
27	The Belle II experiment: status and first results	Withdrawn	Ida Marena Peruzzi	Ida Peruzzi		A High Energy Particle Physics	A High Energy Particle Physics
41	Searches for BSM Higgs bosons in CMS	Submitted	Federica Primavera	Federica Primavera		Workshop on Higgs Physics	Workshop on Higgs Physics
23	Aspects of Top-Down Holographic Large-N Thermal QCD at Finite Coupling	Submitted	Aalok Misra	Aalok Misra		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
19	How quantum mechanics solves the barber paradox	Submitted	avishy carmi	Avishy Carmi		C Quantum Physics, Quantum Optics and Quantum Information; Other Topics	C Quantum Physics, Quantum Optics and Quantum Information; Other Topics
10	New physics search with SHiP at CERN	Submitted	Walter Marcello Bonivento	Vladimir Shevchenko		Workshop on Heavy Neutral Leptons	Workshop on Heavy Neutral Leptons